design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
440_flex,flex,4,4,bit_complement,0.975,32247,0.0235359,3593.209918,196.028680,3789.238598,4.648941,0,0.427699,0.457811,0.934226
440_flex,flex,4,4,bit_complement,1.000,32185,0.0235,3438.727427,184.997507,3623.724934,4.480186,0,0.405499,0.433876,0.934597
440_flex,flex,4,4,bit_reverse,0.025,31877,0.0248797,2.000031,9.000691,11.000722,2.992464,0,0,0,0.999028
440_flex,flex,4,4,bit_reverse,0.050,64179,0.050093,2.000530,9.046866,11.047396,3.007221,0,0.000389536,0.0003899,0.999065
440_flex,flex,4,4,bit_reverse,0.075,95843,0.0748063,2.002141,9.069649,11.071790,3.008877,0,0.00150246,0.00150389,0.999051
440_flex,flex,4,4,bit_reverse,0.100,128013,0.0999203,2.004691,9.096835,11.101526,3.012150,0,0.00316374,0.00316659,0.999102
440_flex,flex,4,4,bit_reverse,0.125,159953,0.12485,2.009418,9.135012,11.144430,3.019561,0,0.00544535,0.00545029,0.999093
440_flex,flex,4,4,bit_reverse,0.150,192279,0.150081,2.016569,9.178357,11.194926,3.029328,0,0.00834204,0.00834964,0.99909
440_flex,flex,4,4,bit_reverse,0.175,224176,0.174972,2.027027,9.240740,11.267766,3.045364,0,0.0121021,0.0121136,0.999054
440_flex,flex,4,4,bit_reverse,0.200,256078,0.199871,2.040948,9.307374,11.348322,3.060371,0,0.0162451,0.0162605,0.999051
440_flex,flex,4,4,bit_reverse,0.225,288187,0.224919,2.059921,9.381356,11.441277,3.078629,0,0.020917,0.0209381,0.99899
440_flex,flex,4,4,bit_reverse,0.250,320345,0.250012,2.086283,9.459372,11.545656,3.094586,0,0.0252946,0.0253207,0.99897
440_flex,flex,4,4,bit_reverse,0.275,352106,0.274798,2.119631,9.564199,11.683830,3.111221,0,0.0303488,0.0303803,0.998963
440_flex,flex,4,4,bit_reverse,0.300,384247,0.299876,2.165832,9.675603,11.841434,3.124161,0,0.0347329,0.0347696,0.998943
440_flex,flex,4,4,bit_reverse,0.325,416256,0.324857,2.234596,9.851791,12.086387,3.135350,0,0.0384883,0.038529,0.998945
440_flex,flex,4,4,bit_reverse,0.350,448321,0.349878,2.356729,10.084632,12.441361,3.136588,0,0.0405491,0.0405923,0.998936
440_flex,flex,4,4,bit_reverse,0.375,480027,0.374606,2.659447,10.433288,13.092735,3.131951,0,0.0415435,0.0415895,0.998894
440_flex,flex,4,4,bit_reverse,0.400,511109,0.398852,9.614718,10.899209,20.513927,3.124224,0,0.0415313,0.0415784,0.998867
440_flex,flex,4,4,bit_reverse,0.425,539011,0.420602,42.095165,11.350697,53.445862,3.122144,0,0.0415687,0.0416181,0.998813
440_flex,flex,4,4,bit_reverse,0.450,562934,0.439246,85.202881,11.837531,97.040412,3.118765,0,0.0392071,0.0392558,0.998758
440_flex,flex,4,4,bit_reverse,0.475,587726,0.458561,110.530123,12.023131,122.553254,3.119978,0,0.0397583,0.0398103,0.998693
440_flex,flex,4,4,bit_reverse,0.500,609774,0.475751,141.943893,12.196354,154.140247,3.120811,0,0.0407085,0.0407629,0.998667
440_flex,flex,4,4,bit_reverse,0.525,633619,0.494342,151.519824,12.271508,163.791333,3.124857,0,0.0430685,0.0431271,0.998641
440_flex,flex,4,4,bit_reverse,0.550,660539,0.515351,173.994821,12.342614,186.337436,3.116507,0,0.0447862,0.0448466,0.998653
440_flex,flex,4,4,bit_reverse,0.575,681624,0.531777,216.416633,12.313117,228.729751,3.112440,0,0.0460166,0.0460807,0.998608
440_flex,flex,4,4,bit_reverse,0.600,690059,0.53838,337.035281,12.335546,349.370827,3.102604,0,0.0465265,0.0465894,0.998649
440_flex,flex,4,4,bit_reverse,0.625,693596,0.541116,511.748631,12.345133,524.093765,3.097553,0,0.0464045,0.0464694,0.998604
440_flex,flex,4,4,bit_reverse,0.650,691235,0.539273,682.759219,12.433479,695.192697,3.098347,0,0.0462072,0.0462718,0.998603
440_flex,flex,4,4,bit_reverse,0.675,692076,0.539933,837.635261,12.384133,850.019395,3.095579,0,0.0452248,0.0452878,0.99861
440_flex,flex,4,4,bit_reverse,0.700,692988,0.540648,992.822598,12.501349,1005.323947,3.097746,0,0.0460729,0.0461368,0.998616
440_flex,flex,4,4,bit_reverse,0.725,689640,0.53803,1142.548675,12.315449,1154.864124,3.096316,0,0.0456224,0.045686,0.998607
440_flex,flex,4,4,bit_reverse,0.750,691925,0.539823,1260.122433,12.362808,1272.485241,3.100248,0,0.0470109,0.0470756,0.998626
440_flex,flex,4,4,bit_reverse,0.775,692090,0.539958,1384.541910,12.365115,1396.907025,3.096835,0,0.0465301,0.0465936,0.998636
440_flex,flex,4,4,bit_reverse,0.800,690349,0.538563,1492.288353,12.331891,1504.620244,3.099911,0,0.0464186,0.0464851,0.998569
440_flex,flex,4,4,bit_reverse,0.825,687383,0.536267,1598.284581,12.651376,1610.935958,3.093488,0,0.0446578,0.0447203,0.998602
440_flex,flex,4,4,bit_reverse,0.850,691784,0.539706,1696.104797,12.293067,1708.397864,3.101770,0,0.0473139,0.0473797,0.998612
440_flex,flex,4,4,bit_reverse,0.875,691167,0.539227,1792.615617,12.235376,1804.850993,3.098124,0,0.0465531,0.0466177,0.998615
440_flex,flex,4,4,bit_reverse,0.900,695829,0.542885,1886.004691,12.146772,1898.151464,3.095013,0,0.0464051,0.0464676,0.998655
440_flex,flex,4,4,bit_reverse,0.925,691367,0.539401,1969.403369,12.498645,1981.902014,3.095915,0,0.0455648,0.0456264,0.998649
440_flex,flex,4,4,bit_reverse,0.950,691080,0.539155,2056.095146,12.433152,2068.528298,3.095498,0,0.0462161,0.0462805,0.998608
440_flex,flex,4,4,bit_reverse,0.975,691611,0.539571,2128.147312,12.512159,2140.659471,3.093022,0,0.0458047,0.0458683,0.998612
440_flex,flex,4,4,bit_reverse,1.000,692726,0.540455,2191.880698,12.379397,2204.260095,3.097586,0,0.0459619,0.0460246,0.998637
440_flex,flex,4,4,perfect_shuffle,0.025,31877,0.0248758,2.000031,9.834993,11.835024,3.406551,0,0,0,0.998871
440_flex,flex,4,4,perfect_shuffle,0.050,64179,0.0500875,2.000515,9.868558,11.869073,3.412169,0,0.000358373,0.000358747,0.998956
440_flex,flex,4,4,perfect_shuffle,0.075,95843,0.0747992,2.002131,9.888974,11.891104,3.410244,0,0.000928602,0.000929572,0.998957
440_flex,flex,4,4,perfect_shuffle,0.100,128013,0.0999078,2.004801,9.928481,11.933282,3.415187,0,0.00224196,0.00224426,0.998977
440_flex,flex,4,4,perfect_shuffle,0.125,159953,0.124838,2.009706,9.973203,11.982909,3.421360,0,0.00404494,0.00404901,0.998993
440_flex,flex,4,4,perfect_shuffle,0.150,192279,0.150066,2.016909,10.027780,12.044689,3.430244,0,0.00664139,0.00664813,0.998986
440_flex,flex,4,4,perfect_shuffle,0.175,224176,0.174953,2.027766,10.088028,12.115794,3.440721,0,0.00991632,0.00992677,0.998947
440_flex,flex,4,4,perfect_shuffle,0.200,256078,0.199855,2.041784,10.165108,12.206892,3.453210,0,0.0137927,0.0138069,0.998973
440_flex,flex,4,4,perfect_shuffle,0.225,288187,0.224896,2.062004,10.264855,12.326859,3.467494,0,0.0186476,0.0186683,0.99889
440_flex,flex,4,4,perfect_shuffle,0.250,320345,0.249988,2.090330,10.427215,12.517545,3.484502,0,0.0238181,0.0238449,0.998873
440_flex,flex,4,4,perfect_shuffle,0.275,352107,0.274762,2.129774,10.671400,12.801174,3.495333,0,0.0284147,0.0284479,0.99883
440_flex,flex,4,4,perfect_shuffle,0.300,384245,0.299835,2.208422,11.068913,13.277335,3.501911,0,0.0322372,0.0322755,0.998813
440_flex,flex,4,4,perfect_shuffle,0.325,416243,0.324797,2.343092,11.519445,13.862537,3.501987,0,0.0348931,0.0349353,0.998792
440_flex,flex,4,4,perfect_shuffle,0.350,447991,0.349557,3.536071,11.913010,15.449082,3.495419,0,0.0369784,0.0370245,0.998754
440_flex,flex,4,4,perfect_shuffle,0.375,479367,0.37402,9.898900,12.232777,22.131678,3.490092,0,0.0392059,0.0392568,0.998702
440_flex,flex,4,4,perfect_shuffle,0.400,509895,0.397838,19.056244,12.508336,31.564580,3.483941,0,0.0421969,0.0422519,0.9987
440_flex,flex,4,4,perfect_shuffle,0.425,538928,0.420463,40.753618,12.702961,53.456579,3.482516,0,0.0465071,0.0465707,0.998634
440_flex,flex,4,4,perfect_shuffle,0.450,566304,0.441806,78.521361,12.871021,91.392382,3.481618,0,0.0510856,0.0511572,0.998601
440_flex,flex,4,4,perfect_shuffle,0.475,594360,0.463683,90.307523,13.084519,103.392041,3.481426,0,0.0559476,0.0560273,0.998577
440_flex,flex,4,4,perfect_shuffle,0.500,616207,0.480722,135.598897,13.298999,148.897896,3.484304,0,0.0601892,0.0602756,0.998567
440_flex,flex,4,4,perfect_shuffle,0.525,637982,0.497706,194.305167,13.426836,207.732003,3.486585,0,0.065146,0.0652399,0.998561
440_flex,flex,4,4,perfect_shuffle,0.550,657678,0.513064,256.279960,13.613421,269.893381,3.493274,0,0.0699871,0.070089,0.998546
440_flex,flex,4,4,perfect_shuffle,0.575,669445,0.522207,354.726554,13.543662,368.270216,3.491045,0,0.0708512,0.0709593,0.998476
440_flex,flex,4,4,perfect_shuffle,0.600,672591,0.524668,536.048321,13.507413,549.555734,3.486325,0,0.0710551,0.0711626,0.998489
440_flex,flex,4,4,perfect_shuffle,0.625,673432,0.525321,706.159565,13.598481,719.758045,3.490054,0,0.0722746,0.0723843,0.998484
440_flex,flex,4,4,perfect_shuffle,0.650,673649,0.525523,865.114248,13.594638,878.708885,3.488287,0,0.0719499,0.0720546,0.998547
