design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops
340_adaptive,adaptive,3,4,uniform_random,0.425,543621,0.424132,3.008243,12.531057,15.539300,3.438673
340_adaptive,adaptive,3,4,uniform_random,0.450,575553,0.449027,3.821595,12.835615,16.657210,3.435137
340_adaptive,adaptive,3,4,uniform_random,0.475,607723,0.474137,4.712306,13.077931,17.790237,3.429015
340_adaptive,adaptive,3,4,uniform_random,0.500,639219,0.498679,8.412211,13.335974,21.748185,3.425053
340_adaptive,adaptive,3,4,uniform_random,0.525,670604,0.523125,16.868027,13.557168,30.425196,3.417074
340_adaptive,adaptive,3,4,uniform_random,0.550,696137,0.543037,62.676881,13.825878,76.502759,3.416024
340_adaptive,adaptive,3,4,uniform_random,0.575,704111,0.549257,221.481170,13.919981,235.401151,3.413812
340_adaptive,adaptive,3,4,uniform_random,0.600,705441,0.550288,411.919944,13.884348,425.804292,3.414364
340_adaptive,adaptive,3,4,uniform_random,0.625,704811,0.549844,585.162606,13.889366,599.051972,3.414069
340_adaptive,adaptive,3,4,uniform_random,0.650,704461,0.549538,759.263487,13.941641,773.205128,3.415282
340_adaptive,adaptive,3,4,uniform_random,0.675,705767,0.550557,916.652131,13.884624,930.536755,3.414237
340_adaptive,adaptive,3,4,uniform_random,0.700,705562,0.550372,1060.183329,13.956457,1074.139786,3.416617
340_adaptive,adaptive,3,4,uniform_random,0.725,704228,0.54937,1194.305900,13.918045,1208.223946,3.413566
340_adaptive,adaptive,3,4,uniform_random,0.750,704527,0.549594,1323.884272,13.967055,1337.851328,3.414300
340_adaptive,adaptive,3,4,uniform_random,0.775,706625,0.551216,1433.030668,13.935126,1446.965794,3.412144
340_adaptive,adaptive,3,4,uniform_random,0.800,704221,0.549339,1550.264776,13.935063,1564.199838,3.412415
340_adaptive,adaptive,3,4,uniform_random,0.825,706089,0.550785,1650.292496,13.900033,1664.192529,3.414762
340_adaptive,adaptive,3,4,uniform_random,0.850,705782,0.550575,1753.056150,13.866970,1766.923120,3.410342
340_adaptive,adaptive,3,4,uniform_random,0.875,705397,0.550263,1846.540825,13.877192,1860.418017,3.413728
340_adaptive,adaptive,3,4,uniform_random,0.900,705173,0.550097,1931.632193,13.882631,1945.514824,3.412163
340_adaptive,adaptive,3,4,uniform_random,0.925,705627,0.550443,2015.228814,13.941864,2029.170678,3.415969
340_adaptive,adaptive,3,4,uniform_random,0.950,705471,0.550315,2097.021577,13.921041,2110.942618,3.411959
340_adaptive,adaptive,3,4,uniform_random,0.975,706173,0.550899,2163.600042,13.981062,2177.581104,3.413263
340_adaptive,adaptive,3,4,uniform_random,1.000,707231,0.551675,2234.686462,13.933209,2248.619671,3.413920
400_adaptive,adaptive,4,0,uniform_random,0.025,31838,0.0248422,2,10.293981,12.293981,3.629757
400_adaptive,adaptive,4,0,uniform_random,0.050,64150,0.0500562,2.000468,10.306686,12.307154,3.618476
400_adaptive,adaptive,4,0,uniform_random,0.075,95712,0.074693,2.002102,10.362097,12.364199,3.627276
400_adaptive,adaptive,4,0,uniform_random,0.100,127782,0.0996953,2.005031,10.406865,12.411896,3.627224
400_adaptive,adaptive,4,0,uniform_random,0.125,159686,0.124612,2.010257,10.467001,12.477257,3.633411
400_adaptive,adaptive,4,0,uniform_random,0.150,191898,0.149731,2.017255,10.519879,12.537134,3.634121
400_adaptive,adaptive,4,0,uniform_random,0.175,224032,0.174816,2.027596,10.584654,12.612249,3.638058
400_adaptive,adaptive,4,0,uniform_random,0.200,256013,0.199789,2.043519,10.662320,12.705838,3.644465
400_adaptive,adaptive,4,0,uniform_random,0.225,288236,0.224921,2.062793,10.773139,12.835932,3.661294
400_adaptive,adaptive,4,0,uniform_random,0.250,320372,0.25001,2.089971,10.892345,12.982316,3.676573
