design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
000_adaptive,adaptive,0,0,tornado_x_3d,0.150,14713,0.0107937,1590.542415,375.745802,1966.288217,4.183555,0,0,0.39903
000_adaptive,adaptive,0,0,tornado_x_3d,0.175,9718,0.00689219,2672.377125,607.128882,3279.506008,4.812061,0,0,0.624915
000_adaptive,adaptive,0,0,tornado_x_3d,0.200,8826,0.00619609,3128.410037,661.639768,3790.049805,4.997478,0,0,0.692473
000_adaptive,adaptive,0,0,tornado_x_3d,0.225,8421,0.00587812,3320.905502,698.841839,4019.747342,5.104732,0,0,0.733785
000_adaptive,adaptive,0,0,tornado_x_3d,0.250,8239,0.00573594,3468.113593,711.169709,4179.283302,5.164260,0,0,0.750477
000_adaptive,adaptive,0,0,tornado_x_3d,0.275,8160,0.00567578,3556.244322,724.840881,4281.085203,5.182244,0,0,0.762836
000_adaptive,adaptive,0,0,tornado_x_3d,0.300,8026,0.00557109,3642.665966,739.097322,4381.763287,5.199411,0,0,0.76511
000_adaptive,adaptive,0,0,tornado_x_3d,0.325,7945,0.00550625,3737.677497,728.500709,4466.178207,5.242338,0,0,0.778802
000_adaptive,adaptive,0,0,tornado_x_3d,0.350,7939,0.0055,3763.767330,740.685795,4504.453125,5.250852,0,0,0.783949
000_adaptive,adaptive,0,0,tornado_x_3d,0.375,7851,0.00543359,3793.111718,759.900791,4553.012509,5.263408,0,0,0.787922
000_adaptive,adaptive,0,0,tornado_x_3d,0.400,7876,0.00545469,3857.032942,736.518906,4593.551848,5.250645,0,0,0.785448
000_adaptive,adaptive,0,0,tornado_x_3d,0.425,7812,0.00540078,3871.593375,742.981484,4614.574859,5.286996,0,0,0.796181
000_adaptive,adaptive,0,0,tornado_x_3d,0.450,7854,0.00543984,3901.481689,749.702858,4651.184547,5.267701,0,0,0.794198
000_adaptive,adaptive,0,0,tornado_x_3d,0.475,7870,0.00544609,3889.939033,754.174437,4644.113470,5.260508,0,0,0.788553
000_adaptive,adaptive,0,0,tornado_x_3d,0.500,7811,0.00540234,3936.567607,732.954881,4669.522487,5.279971,0,0,0.798843
000_adaptive,adaptive,0,0,tornado_x_3d,0.525,7805,0.00539609,3943.471985,731.099609,4674.571594,5.287534,0,0,0.801071
000_adaptive,adaptive,0,0,tornado_x_3d,0.550,7759,0.00536094,3954.181871,745.417662,4699.599534,5.294083,0,0,0.803993
000_adaptive,adaptive,0,0,tornado_x_3d,0.575,7765,0.00536953,3956.719919,774.245162,4730.965081,5.288957,0,0,0.804016
000_adaptive,adaptive,0,0,tornado_x_3d,0.600,7781,0.00537891,3986.624110,753.667538,4740.291649,5.306463,0,0,0.808424
000_adaptive,adaptive,0,0,tornado_x_3d,0.625,7775,0.00537422,4004.634249,743.721180,4748.355430,5.297427,0,0,0.804623
000_adaptive,adaptive,0,0,tornado_x_3d,0.650,7763,0.00536406,3994.589717,737.571657,4732.161375,5.300029,0,0,0.804981
000_adaptive,adaptive,0,0,tornado_x_3d,0.675,7771,0.00537344,4016.247746,752.267810,4768.515557,5.309974,0,0,0.808956
000_adaptive,adaptive,0,0,tornado_x_3d,0.700,7764,0.00536641,3996.577522,761.529626,4758.107148,5.317077,0,0,0.807687
000_adaptive,adaptive,0,0,tornado_x_3d,0.725,7792,0.00538984,4028.607769,747.315988,4775.923757,5.308451,0,0,0.809248
000_adaptive,adaptive,0,0,tornado_x_3d,0.750,7789,0.0053875,3998.887616,759.947071,4758.834687,5.309745,0,0,0.809165
000_adaptive,adaptive,0,0,tornado_x_3d,0.775,7799,0.00539141,4019.151572,753.570497,4772.722069,5.293001,0,0,0.798725
000_adaptive,adaptive,0,0,tornado_x_3d,0.800,7774,0.00537344,4043.146990,733.989096,4777.136086,5.293690,0,0,0.80314
000_adaptive,adaptive,0,0,tornado_x_3d,0.825,7807,0.00540078,4033.819615,752.015333,4785.834949,5.291914,0,0,0.802691
000_adaptive,adaptive,0,0,tornado_x_3d,0.850,7774,0.00537422,4030.098125,748.308475,4778.406600,5.299171,0,0,0.802297
000_adaptive,adaptive,0,0,tornado_x_3d,0.875,7817,0.00541094,4032.886081,745.047358,4777.933439,5.274906,0,0,0.796708
000_adaptive,adaptive,0,0,tornado_x_3d,0.900,7772,0.00537266,4013.611604,750.345645,4763.957249,5.289661,0,0,0.798313
000_adaptive,adaptive,0,0,tornado_x_3d,0.925,7839,0.00542422,4032.297422,751.314849,4783.612271,5.274809,0,0,0.801239
000_adaptive,adaptive,0,0,tornado_x_3d,0.950,7853,0.00543516,4038.002156,732.965215,4770.967371,5.273969,0,0,0.798333
000_adaptive,adaptive,0,0,tornado_x_3d,0.975,7794,0.00538984,4007.377301,741.863748,4749.241049,5.269894,0,0,0.798232
000_adaptive,adaptive,0,0,tornado_x_3d,1.000,7857,0.00543906,4004.894283,740.640046,4745.534329,5.251652,0,0,0.791727
000_adaptive,adaptive,0,0,tornado_y,0.025,31877,0.0248922,2.000031,5,7.000031,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.050,64179,0.050118,2.000514,5,7.000514,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.075,95843,0.0748414,2.002056,5,7.002056,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.100,128013,0.0999586,2.004517,5,7.004517,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.125,159953,0.124899,2.008970,5,7.008970,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.150,192279,0.150142,2.015527,5,7.015527,1,0,0,0
000_adaptive,adaptive,0,0,tornado_y,0.175,224176,0.175045,2.024998,5,7.024998,1,0,0,0
