design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
440_flex,flex,4,4,diagonal_3d,0.375,480021,0.37442,2.820215,15.239479,18.059694,4.124806,0,0,0.0924431
440_flex,flex,4,4,diagonal_3d,0.400,511811,0.399181,3.515467,15.930919,19.446386,4.107333,0,0,0.0996767
440_flex,flex,4,4,diagonal_3d,0.425,543940,0.424186,6.871088,16.989566,23.860654,4.085167,0,0,0.111766
440_flex,flex,4,4,diagonal_3d,0.450,118820,0.0914164,1266.250972,100.552135,1366.803107,4.132122,0,0,0.367865
440_flex,flex,4,4,diagonal_3d,0.475,87736,0.0671422,2036.181716,137.704335,2173.886051,4.153732,0,0,0.472912
440_flex,flex,4,4,diagonal_3d,0.500,81145,0.0620094,2443.754296,153.742793,2597.497090,4.171068,0,0,0.530149
440_flex,flex,4,4,diagonal_3d,0.525,80062,0.0611086,2248.621805,152.479244,2401.101050,4.168425,0,0,0.504072
440_flex,flex,4,4,diagonal_3d,0.550,81655,0.0623867,2405.216455,139.902348,2545.118803,4.164072,0,0,0.517363
440_flex,flex,4,4,diagonal_3d,0.575,71507,0.0544883,2919.467317,174.769059,3094.236375,4.188085,0,0,0.577704
440_flex,flex,4,4,diagonal_3d,0.600,69132,0.0526672,3203.162503,164.524772,3367.687276,4.188715,0,0,0.557125
440_flex,flex,4,4,diagonal_3d,0.625,75045,0.057225,2692.492887,169.220552,2861.713439,4.168633,0,0,0.540902
440_flex,flex,4,4,diagonal_3d,0.650,73461,0.0560008,2881.273434,161.966895,3043.240329,4.184233,0,0,0.559563
440_flex,flex,4,4,diagonal_3d,0.675,73718,0.0562219,3211.302790,163.762117,3375.064907,4.181202,0,0,0.563518
440_flex,flex,4,4,diagonal_3d,0.700,66186,0.0503547,3157.123235,188.294194,3345.417429,4.204828,0,0,0.612825
440_flex,flex,4,4,diagonal_3d,0.725,69802,0.0531742,3082.088550,175.959919,3258.048470,4.185416,0,0,0.585796
440_flex,flex,4,4,diagonal_3d,0.750,68094,0.0518187,3101.165194,178.840203,3280.005397,4.188849,0,0,0.593264
440_flex,flex,4,4,diagonal_3d,0.775,63595,0.0482625,3266.044079,204.654915,3470.698993,4.199527,0,0,0.612859
440_flex,flex,4,4,diagonal_3d,0.800,75558,0.0576586,2953.085782,152.291452,3105.377234,4.160806,0,0,0.531333
440_flex,flex,4,4,diagonal_3d,0.825,67320,0.0512148,3497.952010,176.018732,3673.970742,4.199741,0,0,0.570132
440_flex,flex,4,4,diagonal_3d,0.850,67870,0.0516031,3331.279265,184.482347,3515.761612,4.191576,0,0,0.615364
440_flex,flex,4,4,diagonal_3d,0.875,75357,0.0574594,2963.398230,170.615421,3134.013651,4.144695,0,0,0.528444
440_flex,flex,4,4,diagonal_3d,0.900,64705,0.0491352,3399.799040,180.713418,3580.512458,4.199513,0,0,0.614027
440_flex,flex,4,4,diagonal_3d,0.925,67636,0.0514477,3096.649340,166.840220,3263.489560,4.180918,0,0,0.597437
440_flex,flex,4,4,diagonal_3d,0.950,63303,0.0480516,3451.371655,195.926820,3647.298475,4.194225,0,0,0.6215
440_flex,flex,4,4,diagonal_3d,0.975,69368,0.0527922,3097.050537,185.219789,3282.270326,4.197591,0,0,0.576479
440_flex,flex,4,4,diagonal_3d,1.000,80929,0.0618219,2900.434540,156.351097,3056.785637,4.161073,0,0,0.518551
440_flex,flex,4,4,tornado_x_3d,0.025,31877,0.0248797,2.000031,9.080607,11.080638,3.012372,0,0,0.0028889
440_flex,flex,4,4,tornado_x_3d,0.050,64179,0.0500922,2.000546,9.295019,11.295564,3.079946,0,0,0.0179201
440_flex,flex,4,4,tornado_x_3d,0.075,95843,0.0748047,2.002245,9.843520,11.845765,3.206433,0,0,0.0467258
440_flex,flex,4,4,tornado_x_3d,0.100,128012,0.0998555,2.009756,14.839565,16.849321,3.232070,0,0,0.0514181
440_flex,flex,4,4,tornado_x_3d,0.125,122214,0.0950273,54.771193,29.813014,84.584207,3.190537,0,0,0.0535208
440_flex,flex,4,4,tornado_x_3d,0.150,14242,0.0104297,1555.477678,435.230112,1990.707790,3.890787,0,0,0.46397
440_flex,flex,4,4,tornado_x_3d,0.175,10653,0.00762578,2358.400574,604.804221,2963.204795,4.190042,0,0,0.628727
440_flex,flex,4,4,tornado_x_3d,0.200,9877,0.00701953,2731.943907,677.830161,3409.774068,4.273456,0,0,0.676572
440_flex,flex,4,4,tornado_x_3d,0.225,9601,0.00680156,2946.729152,689.567540,3636.296692,4.316104,0,0,0.69722
440_flex,flex,4,4,tornado_x_3d,0.250,9459,0.00669141,3124.546410,711.380502,3835.926912,4.361821,0,0,0.716871
440_flex,flex,4,4,tornado_x_3d,0.275,9295,0.00656563,3271.709900,719.999881,3991.709781,4.365540,0,0,0.726559
440_flex,flex,4,4,tornado_x_3d,0.300,9173,0.00646797,3365.750211,728.731127,4094.481338,4.416355,0,0,0.752627
440_flex,flex,4,4,tornado_x_3d,0.325,9142,0.00644297,3459.081727,721.023766,4180.105493,4.392021,0,0,0.746332
440_flex,flex,4,4,tornado_x_3d,0.350,9035,0.00636094,3506.435765,722.201548,4228.637313,4.388602,0,0,0.747482
440_flex,flex,4,4,tornado_x_3d,0.375,9099,0.00641094,3573.647697,715.606751,4289.254448,4.401657,0,0,0.751158
440_flex,flex,4,4,tornado_x_3d,0.400,8965,0.00630391,3609.319123,739.670715,4348.989838,4.404883,0,0,0.755112
440_flex,flex,4,4,tornado_x_3d,0.425,8985,0.00632188,3637.718364,747.250124,4384.968487,4.409046,0,0,0.76001
440_flex,flex,4,4,tornado_x_3d,0.450,9063,0.00638281,3712.955447,745.443452,4458.398898,4.424725,0,0,0.76022
440_flex,flex,4,4,tornado_x_3d,0.475,9035,0.00636016,3712.266184,743.409041,4455.675224,4.421693,0,0,0.760226
440_flex,flex,4,4,tornado_x_3d,0.500,8988,0.00632266,3763.516866,750.647720,4514.164587,4.421228,0,0,0.759051
440_flex,flex,4,4,tornado_x_3d,0.525,8914,0.00626641,3802.854382,732.202219,4535.056601,4.419524,0,0,0.765366
440_flex,flex,4,4,tornado_x_3d,0.550,8912,0.00626328,3769.758887,735.108020,4504.866908,4.423974,0,0,0.769116
440_flex,flex,4,4,tornado_x_3d,0.575,8755,0.00614063,3845.455344,727.447583,4572.902926,4.432570,0,0,0.769338
440_flex,flex,4,4,tornado_x_3d,0.600,8822,0.00619453,3849.860512,721.062681,4570.923193,4.438012,0,0,0.772481
440_flex,flex,4,4,tornado_x_3d,0.625,8810,0.00618594,3841.031826,742.246527,4583.278353,4.428391,0,0,0.766481
440_flex,flex,4,4,tornado_x_3d,0.650,8854,0.00621641,3882.998366,731.017343,4614.015709,4.422395,0,0,0.763353
440_flex,flex,4,4,tornado_x_3d,0.675,8849,0.00621328,3900.924054,746.906828,4647.830881,4.435685,0,0,0.771407
