design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
000_adaptive,adaptive,0,0,bit_complement,0.925,84661,0.0649484,3574.679782,93.167946,3667.847728,3.936632,0,0.334581,0.340727,0.981963
000_adaptive,adaptive,0,0,bit_complement,0.950,79486,0.0609609,3812.511406,94.212239,3906.723645,3.855133,0,0.414576,0.422312,0.981682
000_adaptive,adaptive,0,0,bit_complement,0.975,79306,0.0608016,3635.001516,103.278724,3738.280241,3.939018,0,0.36653,0.3735,0.981338
000_adaptive,adaptive,0,0,bit_complement,1.000,99518,0.0766156,3785.677928,77.578395,3863.256322,3.819105,0,0.290872,0.295173,0.98543
000_adaptive,adaptive,0,0,bit_reverse,0.025,31877,0.0248766,2.000031,11.011808,13.011840,3.993091,0,3.13706e-05,3.14051e-05,0.998902
000_adaptive,adaptive,0,0,bit_reverse,0.050,64179,0.0500875,2.000562,11.089422,13.089983,4.015099,0,0.000732327,0.000733092,0.998956
000_adaptive,adaptive,0,0,bit_reverse,0.075,95843,0.0747961,2.002235,11.133488,13.135723,4.018613,0,0.00180504,0.001807,0.998915
000_adaptive,adaptive,0,0,bit_reverse,0.100,128013,0.0999031,2.004669,11.194931,13.199600,4.027621,0,0.00449954,0.00450436,0.99893
000_adaptive,adaptive,0,0,bit_reverse,0.125,159953,0.124827,2.009757,11.282517,13.292274,4.044130,0,0.00889636,0.00890611,0.998906
000_adaptive,adaptive,0,0,bit_reverse,0.150,192279,0.150048,2.016916,11.394107,13.411024,4.066551,0,0.0140889,0.0141048,0.998871
000_adaptive,adaptive,0,0,bit_reverse,0.175,224176,0.174937,2.027800,11.630505,13.658305,4.108749,0,0.0222013,0.0222268,0.998854
000_adaptive,adaptive,0,0,bit_reverse,0.200,256078,0.199813,2.042544,12.283492,14.326036,4.133719,0,0.0274604,0.0274945,0.998758
000_adaptive,adaptive,0,0,bit_reverse,0.225,288187,0.22483,2.063499,13.277098,15.340597,4.116390,0,0.0262573,0.0262941,0.998598
